Key;ID;ZONAL_ID;ZONAL_CODE;ZONAL_NAME;LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;SITIO_ID;SITIO_CODE;SITIO_NAME;ELEMENTO_ID;ELEMENTO_SERIAL;Created;ELEMENTO_NAME;TIPOELEMENTO_ID;TIPOELEMENTO_NAME;MARCA_ID;MARCA_NAME;MODELO_ID;MODELO_NAME;Activo;FECHA_INGRESO;FECHA_BAJA;LATITUD;LONGITUD;REGION;PROVINCIA;COMUNA;ELEMENTO_RED_COR;EQUIPO;Updated;CANT_RESIDENCIAL_TEL;CANT_RESIDENCIAL_TV;CANT_RESIDENCIAL_INT;CANT_RESIDENCIAL_TOTAL;CANT_EMPRESA_EMPRESAS;CANT_EMPRESA_TELCOS;CANT_EMPRESA_TOTAL;SEVERIDAD;AVISO_SUBTEL;ESTADO;COMPONENTE;ID_FINAL;SITIO;LOCALIDAD
SER-62089;#R`6B3CA155;3;CP;CONCEPCION;53;SPDR;SAN PEDRO;2717;INVC;INVICA CONAVICOOP SUR;10086096;#R`6B3CA155;16/12/2019 22:23;#R`6B3CA155;;;14;ZHONE;437;2426A1;true;23/8/2019 12:38;;"36°54'11.88""";"73°08'52.44""";REGIÓN DEL BIOBÍO;PROVINCIA DE CONCEPCIÓN;SAN PEDRO DE LA PAZ;#R`6B3CA155;;16/12/2019 22:23;;;;;;;;;;INGRESADO;(S) ONT;77355;INVC;SPDR
SER-63025;(CN) Akamai SCL2;;;;;;;;;;;;15/1/2020 17:00;(CN) Akamai SCL2;;;;;;;true;;;;;;;;;;15/1/2020 17:00;;;;;;;;;;;(CN) CDN-SCL;;;
SER-62999;(CN) Arbor Peakflow;;;;;;;;;;;;15/1/2020 16:26;(CN) Arbor Peakflow;;;;;;;true;;;;;;;;;;15/1/2020 16:26;;;;;;;;;;;(CN) Arbor;;;
SER-63000;(CN) Arbor TMS;;;;;;;;;;;;15/1/2020 16:27;(CN) Arbor TMS;;;;;;;true;;;;;;;;;;15/1/2020 16:27;;;;;;;;;;;(CN) Arbor;;;
SER-63426;(CN) Base Extranet Teleductos;;;;;;;;;;;;29/1/2020 17:01;(CN) Base Extranet Teleductos;;;;;;;true;;;;;;;;;;29/1/2020 17:01;;;;;;;;;;;(CN) Base de datos SQL Server;;;
SER-63428;(CN) Base Portabilidad;;;;;;;;;;;;29/1/2020 17:04;(CN) Base Portabilidad;;;;;;;true;;;;;;;;;;29/1/2020 18:16;;;;;;;;;;;(CN) Base de datos Oracle;;;
SER-63425;(CN) Base VMWare Servicios TI;;;;;;;;;;;;29/1/2020 17:01;(CN) Base VMWare Servicios TI;;;;;;;true;;;;;;;;;;29/1/2020 17:01;;;;;;;;;;;(CN) Base de datos SQL Server;;;
SER-63070;(CN) BRAS-IPFIJA1-1201;;;;;;;;;;;;16/1/2020 11:25;(CN) BRAS-IPFIJA1-1201;;;;;;;true;;;;;;;;;;16/1/2020 11:25;;;;;;;;;;;(CN) BRAS;;;
SER-63071;(CN) BRAS-IPFIJA1-906;;;;;;;;;;;;16/1/2020 11:26;(CN) BRAS-IPFIJA1-906;;;;;;;true;;;;;;;;;;16/1/2020 11:26;;;;;;;;;;;(CN) BRAS;;;
SER-63072;(CN) BRAS10-1201;;;;;;;;;;;;16/1/2020 11:26;(CN) BRAS10-1201;;;;;;;true;;;;;;;;;;16/1/2020 11:26;;;;;;;;;;;(CN) BRAS;;;
SER-63073;(CN) BRAS10-906;;;;;;;;;;;;16/1/2020 11:27;(CN) BRAS10-906;;;;;;;true;;;;;;;;;;16/1/2020 11:27;;;;;;;;;;;(CN) BRAS;;;
SER-63074;(CN) BRAS12-906;;;;;;;;;;;;16/1/2020 11:27;(CN) BRAS12-906;;;;;;;true;;;;;;;;;;16/1/2020 11:27;;;;;;;;;;;(CN) BRAS;;;
SER-63075;(CN) BRAS2-1201;;;;;;;;;;;;16/1/2020 11:27;(CN) BRAS2-1201;;;;;;;true;;;;;;;;;;16/1/2020 11:27;;;;;;;;;;;(CN) BRAS;;;
SER-63076;(CN) BRAS3-906;;;;;;;;;;;;16/1/2020 11:28;(CN) BRAS3-906;;;;;;;true;;;;;;;;;;16/1/2020 11:28;;;;;;;;;;;(CN) BRAS;;;
SER-63077;(CN) BRAS6-1201;;;;;;;;;;;;16/1/2020 11:28;(CN) BRAS6-1201;;;;;;;true;;;;;;;;;;16/1/2020 11:28;;;;;;;;;;;(CN) BRAS;;;
SER-63078;(CN) BRAS7-906;;;;;;;;;;;;16/1/2020 11:29;(CN) BRAS7-906;;;;;;;true;;;;;;;;;;16/1/2020 11:29;;;;;;;;;;;(CN) BRAS;;;
SER-63079;(CN) BRAS8-1201;;;;;;;;;;;;16/1/2020 11:29;(CN) BRAS8-1201;;;;;;;true;;;;;;;;;;16/1/2020 11:29;;;;;;;;;;;(CN) BRAS;;;
SER-63080;(CN) BRAS9-906;;;;;;;;;;;;16/1/2020 11:30;(CN) BRAS9-906;;;;;;;true;;;;;;;;;;16/1/2020 11:30;;;;;;;;;;;(CN) BRAS;;;
SER-63443;(CN) Casilla de usuario;;;;;;;;;;;;29/1/2020 18:08;(CN) Casilla de usuario;;;;;;;true;;;;;;;;;;29/1/2020 18:08;;;;;;;;;;;(CN) Zimbra;;;
SER-63027;(CN) Cloudflare;;;;;;;;;;;;15/1/2020 17:03;(CN) Cloudflare;;;;;;;true;;;;;;;;;;15/1/2020 17:03;;;;;;;;;;;(CN) CDN-SCL;;;
SER-61419;(CN) DC Holanda;;;;;;;;;;;;30/9/2019 16:53;;;;;;;;true;;;;;;;;;;30/9/2019 16:53;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61426;(CN) DC Holanda;;;;;;;;;;;;30/9/2019 17:02;;;;;;;;true;;;;;;;;;;30/9/2019 17:02;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61448;(CN) DC Holanda;;;;;;;;;;;;1/10/2019 12:52;;;;;;;;true;;;;;;;;;;1/10/2019 12:52;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61456;(CN) DC Holanda;;;;;;;;;;;;1/10/2019 19:30;;;;;;;;true;;;;;;;;;;1/10/2019 19:30;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61464;(CN) DC Holanda;;;;;;;;;;;;1/10/2019 19:34;;;;;;;;true;;;;;;;;;;1/10/2019 19:34;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61417;(CN) DC Lídice I;;;;;;;;;;;;30/9/2019 16:30;;;;;;;;true;;;;;;;;;;1/10/2019 10:38;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61427;(CN) DC Lídice I;;;;;;;;;;;;30/9/2019 17:03;;;;;;;;true;;;;;;;;;;1/10/2019 10:38;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61435;(CN) DC Lídice I;;;;;;;;;;;;1/10/2019 10:30;;;;;;;;true;;;;;;;;;;1/10/2019 10:53;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61444;(CN) DC Lídice I;;;;;;;;;;;;1/10/2019 12:49;;;;;;;;true;;;;;;;;;;1/10/2019 12:49;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61453;(CN) DC Lídice I;;;;;;;;;;;;1/10/2019 19:29;;;;;;;;true;;;;;;;;;;1/10/2019 19:29;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61462;(CN) DC Lídice I;;;;;;;;;;;;1/10/2019 19:33;;;;;;;;true;;;;;;;;;;1/10/2019 19:33;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61418;(CN) DC Lídice II;;;;;;;;;;;;30/9/2019 16:52;;;;;;;;true;;;;;;;;;;1/10/2019 10:54;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61428;(CN) DC Lídice II;;;;;;;;;;;;30/9/2019 17:03;;;;;;;;true;;;;;;;;;;1/10/2019 10:54;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61436;(CN) DC Lídice II;;;;;;;;;;;;1/10/2019 10:30;;;;;;;;true;;;;;;;;;;1/10/2019 10:54;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61445;(CN) DC Lídice II;;;;;;;;;;;;1/10/2019 12:49;;;;;;;;true;;;;;;;;;;1/10/2019 12:50;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61454;(CN) DC Lídice II;;;;;;;;;;;;1/10/2019 19:29;;;;;;;;true;;;;;;;;;;1/10/2019 19:29;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61463;(CN) DC Lídice II;;;;;;;;;;;;1/10/2019 19:34;;;;;;;;true;;;;;;;;;;1/10/2019 19:34;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61425;(CN) DC Panamericana;;;;;;;;;;;;30/9/2019 16:59;;;;;;;;true;;;;;;;;;;30/9/2019 16:59;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61429;(CN) DC Panamericana;;;;;;;;;;;;30/9/2019 17:04;;;;;;;;true;;;;;;;;;;30/9/2019 17:04;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61446;(CN) DC Panamericana;;;;;;;;;;;;1/10/2019 12:50;;;;;;;;true;;;;;;;;;;1/10/2019 12:50;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61455;(CN) DC Panamericana;;;;;;;;;;;;1/10/2019 19:29;;;;;;;;true;;;;;;;;;;1/10/2019 19:29;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61466;(CN) DC Panamericana;;;;;;;;;;;;1/10/2019 19:35;;;;;;;;true;;;;;;;;;;1/10/2019 19:35;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61424;(CN) DC Viña del Mar;;;;;;;;;;;;30/9/2019 16:57;;;;;;;;true;;;;;;;;;;30/9/2019 16:57;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61430;(CN) DC Viña del Mar;;;;;;;;;;;;30/9/2019 17:05;;;;;;;;true;;;;;;;;;;30/9/2019 17:05;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61447;(CN) DC Viña del Mar;;;;;;;;;;;;1/10/2019 12:51;;;;;;;;true;;;;;;;;;;1/10/2019 12:51;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61457;(CN) DC Viña del Mar;;;;;;;;;;;;1/10/2019 19:30;;;;;;;;true;;;;;;;;;;1/10/2019 19:30;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61465;(CN) DC Viña del Mar;;;;;;;;;;;;1/10/2019 19:35;;;;;;;;true;;;;;;;;;;1/10/2019 19:35;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-63061;(CN) DHCP 1201 - 0 IP FIJA;;;;;;;;;;;;16/1/2020 11:19;(CN) DHCP 1201 - 0 IP FIJA;;;;;;;true;;;;;;;;;;16/1/2020 11:19;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63062;(CN) DHCP 906 -1;;;;;;;;;;;;16/1/2020 11:20;(CN) DHCP 906 -1;;;;;;;true;;;;;;;;;;16/1/2020 11:20;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63063;(CN) DHCP Nsegura;;;;;;;;;;;;16/1/2020 11:20;(CN) DHCP Nsegura;;;;;;;true;;;;;;;;;;16/1/2020 11:20;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63064;(CN) DHCP Pague please;;;;;;;;;;;;16/1/2020 11:21;(CN) DHCP Pague please;;;;;;;true;;;;;;;;;;16/1/2020 11:21;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63432;(CN) Disco;;;;;;;;;;;;29/1/2020 17:59;(CN) Disco;;;;;;;true;;;;;;;;;;29/1/2020 17:59;;;;;;;;;;;(CN) Servidor;;;
SER-63438;(CN) Dockers;;;;;;;;;;;;29/1/2020 18:03;(CN) Dockers;;;;;;;true;;;;;;;;;;29/1/2020 18:03;;;;;;;;;;;(CN) Complemento;;;
SER-63442;(CN) Dominio de correo;;;;;;;;;;;;29/1/2020 18:07;(CN) Dominio de correo;;;;;;;true;;;;;;;;;;29/1/2020 18:07;;;;;;;;;;;(CN) Zimbra;;;
SER-63026;(CN) Facebook SCL;;;;;;;;;;;;15/1/2020 17:00;(CN) Facebook SCL;;;;;;;true;;;;;;;;;;15/1/2020 17:00;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63024;(CN) Google;;;;;;;;;;;;15/1/2020 16:59;(CN) Google;;;;;;;true;;;;;;;;;;15/1/2020 16:59;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63066;(CN) Incognito-1;;;;;;;;;;;;16/1/2020 11:21;(CN) Incognito-1;;;;;;;true;;;;;;;;;;16/1/2020 11:21;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63065;(CN) Incognito-3;;;;;;;;;;;;16/1/2020 11:21;(CN) Incognito-3;;;;;;;true;;;;;;;;;;16/1/2020 11:21;;;;;;;;;;;(CN) DHCP Internet;;;
SER-62978;(CN) IPERF 1201/ Speedtest Nacional;;;;;;;;;;;;15/1/2020 12:34;(CN) IPERF 1201/ Speedtest Nacional;;;;;;;true;;;;;;;;;;15/1/2020 12:34;;;;;;;;;;;(CN) Speedtest Internet;;;
SER-62979;(CN) IPERF Lidice/Speedtest Nacional;;;;;;;;;;;;15/1/2020 12:35;(CN) IPERF Lidice/Speedtest Nacional;;;;;;;true;;;;;;;;;;15/1/2020 12:35;;;;;;;;;;;(CN) Speedtest Internet;;;
SER-63437;(CN) Kubernetes;;;;;;;;;;;;29/1/2020 18:03;(CN) Kubernetes;;;;;;;true;;;;;;;;;;29/1/2020 18:03;;;;;;;;;;;(CN) Complemento;;;
SER-63433;(CN) Memoria;;;;;;;;;;;;29/1/2020 18:00;(CN) Memoria;;;;;;;true;;;;;;;;;;29/1/2020 18:00;;;;;;;;;;;(CN) Servidor;;;
SER-63016;(CN) Netflix - c001.scl001.gtd;;;;;;;;;;;;15/1/2020 16:55;(CN) Netflix - c001.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:55;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63017;(CN) Netflix - c002.scl001.gtd;;;;;;;;;;;;15/1/2020 16:55;(CN) Netflix - c002.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:55;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63018;(CN) Netflix - c003.scl001.gtd;;;;;;;;;;;;15/1/2020 16:56;(CN) Netflix - c003.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:56;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63019;(CN) Netflix - c004.scl001.gtd;;;;;;;;;;;;15/1/2020 16:56;(CN) Netflix - c004.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:56;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63020;(CN) Netflix - c005.scl001.gtd;;;;;;;;;;;;15/1/2020 16:57;(CN) Netflix - c005.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:57;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63021;(CN) Netflix - c006.scl001.gtd;;;;;;;;;;;;15/1/2020 16:57;(CN) Netflix - c006.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:57;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63022;(CN) Netflix - c007.scl001.gtd;;;;;;;;;;;;15/1/2020 16:58;(CN) Netflix - c007.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:58;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63023;(CN) Netflix - c008.scl001.gtd;;;;;;;;;;;;15/1/2020 16:58;(CN) Netflix - c008.scl001.gtd;;;;;;;true;;;;;;;;;;15/1/2020 16:58;;;;;;;;;;;(CN) CDN-SCL;;;
SER-63434;(CN) Red;;;;;;;;;;;;29/1/2020 18:01;(CN) Red;;;;;;;true;;;;;;;;;;29/1/2020 18:01;;;;;;;;;;;(CN) Servidor;;;
SER-63408;(CN) S.C. Zimbra;;;;;;;;;;;;29/1/2020 15:51;(CN) S.C. Zimbra;;;;;;;true;;;;;;;;;;29/1/2020 15:51;;;;;;;;;;;(CN) Administración Servicio Correo (S.C.);;;
SER-61423;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;30/9/2019 16:55;;;;;;;;true;;;;;;;;;;30/9/2019 16:55;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61434;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;30/9/2019 17:07;;;;;;;;true;;;;;;;;;;30/9/2019 17:07;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61443;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;1/10/2019 10:35;;;;;;;;true;;;;;;;;;;1/10/2019 10:35;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61452;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;1/10/2019 12:54;;;;;;;;true;;;;;;;;;;1/10/2019 12:54;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61461;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;1/10/2019 19:32;;;;;;;;true;;;;;;;;;;1/10/2019 19:32;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61470;(CN) Sala DC Huérfanos EP;;;;;;;;;;;;1/10/2019 19:37;;;;;;;;true;;;;;;;;;;1/10/2019 19:37;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61422;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;30/9/2019 16:54;;;;;;;;true;;;;;;;;;;30/9/2019 16:54;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61433;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;30/9/2019 17:06;;;;;;;;true;;;;;;;;;;30/9/2019 17:06;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61442;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;1/10/2019 10:33;;;;;;;;true;;;;;;;;;;1/10/2019 10:33;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61451;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;1/10/2019 12:54;;;;;;;;true;;;;;;;;;;1/10/2019 12:54;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61460;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;1/10/2019 19:31;;;;;;;;true;;;;;;;;;;1/10/2019 19:31;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61469;(CN) Sala DC Huérfanos P3;;;;;;;;;;;;1/10/2019 19:36;;;;;;;;true;;;;;;;;;;1/10/2019 19:36;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61421;(CN) Sala DC Moneda 1001;;;;;;;;;;;;30/9/2019 16:54;;;;;;;;true;;;;;;;;;;30/9/2019 16:54;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61432;(CN) Sala DC Moneda 1001;;;;;;;;;;;;30/9/2019 17:06;;;;;;;;true;;;;;;;;;;30/9/2019 17:06;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61441;(CN) Sala DC Moneda 1001;;;;;;;;;;;;1/10/2019 10:32;;;;;;;;true;;;;;;;;;;1/10/2019 10:32;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61450;(CN) Sala DC Moneda 1001;;;;;;;;;;;;1/10/2019 12:53;;;;;;;;true;;;;;;;;;;1/10/2019 12:53;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61459;(CN) Sala DC Moneda 1001;;;;;;;;;;;;1/10/2019 19:31;;;;;;;;true;;;;;;;;;;1/10/2019 19:31;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61468;(CN) Sala DC Moneda 1001;;;;;;;;;;;;1/10/2019 19:35;;;;;;;;true;;;;;;;;;;1/10/2019 19:35;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-61420;(CN) Sala DC Moneda 920;;;;;;;;;;;;30/9/2019 16:53;;;;;;;;true;;;;;;;;;;30/9/2019 16:53;;;;;;;;;;;(CN) Acceso a Data Center_Clientes;;;
SER-61431;(CN) Sala DC Moneda 920;;;;;;;;;;;;30/9/2019 17:05;;;;;;;;true;;;;;;;;;;30/9/2019 17:05;;;;;;;;;;;(CN) Acceso a Data Center_Implementación Serv.;;;
SER-61440;(CN) Sala DC Moneda 920;;;;;;;;;;;;1/10/2019 10:32;;;;;;;;true;;;;;;;;;;1/10/2019 10:32;;;;;;;;;;;(CN) Acceso a Data Center_Reclamos;;;
SER-61449;(CN) Sala DC Moneda 920;;;;;;;;;;;;1/10/2019 12:53;;;;;;;;true;;;;;;;;;;1/10/2019 12:53;;;;;;;;;;;(CN) Acceso a Data Center_Trabajo Programado;;;
SER-61458;(CN) Sala DC Moneda 920;;;;;;;;;;;;1/10/2019 19:30;;;;;;;;true;;;;;;;;;;1/10/2019 19:30;;;;;;;;;;;(CN) Acceso a Data Center_Visita Guiada;;;
SER-61467;(CN) Sala DC Moneda 920;;;;;;;;;;;;1/10/2019 19:35;;;;;;;;true;;;;;;;;;;1/10/2019 19:35;;;;;;;;;;;(CN) Acceso a Data Center_Visita Técnica;;;
SER-63435;(CN) Sistema Operativo;;;;;;;;;;;;29/1/2020 18:01;(CN) Sistema Operativo;;;;;;;true;;;;;;;;;;29/1/2020 18:01;;;;;;;;;;;(CN) Servidor;;;
SER-62981;(CN) Speedtest Brasil;;;;;;;;;;;;15/1/2020 12:36;(CN) Speedtest Brasil;;;;;;;true;;;;;;;;;;15/1/2020 12:36;;;;;;;;;;;(CN) Speedtest Internet;;;
SER-62980;(CN) Speedtest Miami;;;;;;;;;;;;15/1/2020 12:36;(CN) Speedtest Miami;;;;;;;true;;;;;;;;;;15/1/2020 12:36;;;;;;;;;;;(CN) Speedtest Internet;;;
SER-63068;(CN) SW BRAS 1201;;;;;;;;;;;;16/1/2020 11:23;(CN) SW BRAS 1201;;;;;;;true;;;;;;;;;;16/1/2020 11:23;;;;;;;;;;;(CN) BRAS;;;
SER-63069;(CN) SW BRAS 906;;;;;;;;;;;;16/1/2020 11:25;(CN) SW BRAS 906;;;;;;;true;;;;;;;;;;16/1/2020 11:25;;;;;;;;;;;(CN) BRAS;;;
SER-63059;(CN) SW DHCP 1201;;;;;;;;;;;;16/1/2020 11:18;(CN) SW DHCP 1201;;;;;;;true;;;;;;;;;;16/1/2020 11:18;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63060;(CN) SW DHCP 906;;;;;;;;;;;;16/1/2020 11:19;(CN) SW DHCP 906;;;;;;;true;;;;;;;;;;16/1/2020 11:19;;;;;;;;;;;(CN) DHCP Internet;;;
SER-63098;(CN) Sw Huerf-1;;;;;;;;;;;;16/1/2020 11:41;(CN) Sw Huerf-1;;;;;;;true;;;;;;;;;;16/1/2020 11:41;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63099;(CN) Sw Huerf-2;;;;;;;;;;;;16/1/2020 11:42;(CN) Sw Huerf-2;;;;;;;true;;;;;;;;;;16/1/2020 11:42;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63100;(CN) Sw Huerf-3;;;;;;;;;;;;16/1/2020 11:42;(CN) Sw Huerf-3;;;;;;;true;;;;;;;;;;16/1/2020 11:42;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63101;(CN) Sw Huerf-4;;;;;;;;;;;;16/1/2020 11:42;(CN) Sw Huerf-4;;;;;;;true;;;;;;;;;;16/1/2020 11:42;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63102;(CN) Sw Huerf-5;;;;;;;;;;;;16/1/2020 11:43;(CN) Sw Huerf-5;;;;;;;true;;;;;;;;;;16/1/2020 11:43;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63103;(CN) Sw Huerf-6;;;;;;;;;;;;16/1/2020 11:43;(CN) Sw Huerf-6;;;;;;;true;;;;;;;;;;16/1/2020 11:43;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63104;(CN) Sw Huerf-7;;;;;;;;;;;;16/1/2020 11:43;(CN) Sw Huerf-7;;;;;;;true;;;;;;;;;;16/1/2020 11:43;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63105;(CN) Sw Huerf-8;;;;;;;;;;;;16/1/2020 11:43;(CN) Sw Huerf-8;;;;;;;true;;;;;;;;;;16/1/2020 11:43;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63106;(CN) Sw Huerf-9;;;;;;;;;;;;16/1/2020 11:44;(CN) Sw Huerf-9;;;;;;;true;;;;;;;;;;16/1/2020 11:44;;;;;;;;;;;(CN) SW Huérfanos;;;
SER-63095;(CN) SW I.Housing TI;;;;;;;;;;;;16/1/2020 11:40;(CN) SW I.Housing TI;;;;;;;true;;;;;;;;;;16/1/2020 11:40;;;;;;;;;;;(CN) SW I.Housing;;;
SER-63096;(CN) SW I.Housing TI 2;;;;;;;;;;;;16/1/2020 11:40;(CN) SW I.Housing TI 2;;;;;;;true;;;;;;;;;;16/1/2020 11:40;;;;;;;;;;;(CN) SW I.Housing;;;
SER-63097;(CN) SW I.Housing TI LAN;;;;;;;;;;;;16/1/2020 11:41;(CN) SW I.Housing TI LAN;;;;;;;true;;;;;;;;;;16/1/2020 11:41;;;;;;;;;;;(CN) SW I.Housing;;;
SER-63087;(CN) Sw Lidice P3-1;;;;;;;;;;;;16/1/2020 11:36;(CN) Sw Lidice P3-1;;;;;;;true;;;;;;;;;;16/1/2020 11:36;;;;;;;;;;;(CN) SW Lídice;;;
SER-63088;(CN) Sw Lidice P3-2;;;;;;;;;;;;16/1/2020 11:37;(CN) Sw Lidice P3-2;;;;;;;true;;;;;;;;;;16/1/2020 11:37;;;;;;;;;;;(CN) SW Lídice;;;
SER-63089;(CN) Sw Lidice P3-3;;;;;;;;;;;;16/1/2020 11:37;(CN) Sw Lidice P3-3;;;;;;;true;;;;;;;;;;16/1/2020 11:37;;;;;;;;;;;(CN) SW Lídice;;;
SER-63090;(CN) Sw Lidice P4-1;;;;;;;;;;;;16/1/2020 11:37;(CN) Sw Lidice P4-1;;;;;;;true;;;;;;;;;;16/1/2020 11:37;;;;;;;;;;;(CN) SW Lídice;;;
SER-63091;(CN) Sw Lidice P4-2;;;;;;;;;;;;16/1/2020 11:38;(CN) Sw Lidice P4-2;;;;;;;true;;;;;;;;;;16/1/2020 11:38;;;;;;;;;;;(CN) SW Lídice;;;
SER-63092;(CN) Sw Lidice P4-3;;;;;;;;;;;;16/1/2020 11:38;(CN) Sw Lidice P4-3;;;;;;;true;;;;;;;;;;16/1/2020 11:38;;;;;;;;;;;(CN) SW Lídice;;;
SER-63086;(CN) Sw Lidice P5 -2;;;;;;;;;;;;16/1/2020 11:35;(CN) Sw Lidice P5 -2;;;;;;;true;;;;;;;;;;16/1/2020 11:35;;;;;;;;;;;(CN) SW Lídice;;;
SER-63093;(CN) Sw Moneda -1;;;;;;;;;;;;16/1/2020 11:39;(CN) Sw Moneda -1;;;;;;;true;;;;;;;;;;16/1/2020 11:39;;;;;;;;;;;(CN) SW Moneda;;;
